Estado,IBGE-Code,Município,PET_01,PET_02,PET_03,PET_04,PET_05,PET_06,PET_07,PET_08,PET_09,PET_10,PET_11,PET_12,PR_01,PR_02,PR_03,PR_04,PR_05,PR_06,PR_07,PR_08,PR_09,PR_10,PR_11,PR_12,latitude,longitude
PR,4120853,Quatro Pontes,"137,06","122,89","117,58","93,35","67,56","56,45","66,77","92,22","102,79","121,53","134,98","148,32","166,10","158,00","115,07","117,83","135,90","126,30","99,93","66,03","112,17","223,70","110,20","186,90",-24.571770507498027,-53.97648882701451
PR,4120903,Quedas do Iguaçu,"130,43","114,37","108,15","85,74","60,90","49,79","56,73","81,51","92,35","112,35","127,50","139,96","186,50","205,70","124,33","139,43","98,60","129,97","112,33","81,67","152,37","240,30","143,17","184,47",-25.45747344442653,-52.95497199515114
PR,4121000,Querência do Norte,"137,31","123,71","120,77","99,80","79,01","66,60","77,15","103,44","112,21","127,51","139,49","145,33","148,67","158,93","82,50","81,40","105,60","101,70","52,53","49,87","84,37","184,83","132,90","155,70",-23.04237791018292,-53.52134101891616
PR,4121109,Quinta do Sol,"123,45","107,85","106,96","87,71","64,91","50,70","59,04","79,46","91,55","110,39","121,83","132,79","202,87","139,87","118,67","72,17","108,40","97,97","69,13","59,70","95,67","176,20","101,77","170,17",-23.82966371595992,-52.140354586034846
PR,4121208,Quitandinha,"109,46","93,46","93,63","68,93","50,53","39,35","44,92","63,52","72,55","91,32","103,08","116,07","179,70","166,10","136,80","84,47","77,30","108,80","75,67","72,70","109,77","142,27","111,93","144,53",-25.910495143809648,-49.481500398037845
PR,4121257,Ramilândia,"138,02","120,88","115,71","90,53","65,21","54,38","63,28","88,77","99,30","118,50","134,52","148,47","189,33","169,60","146,23","144,30","134,60","127,07","114,27","72,20","135,47","251,13","132,67","191,97",-25.09434591525939,-54.07605162665704
PR,4121307,Rancho Alegre,"127,77","111,67","116,38","97,85","76,97","64,10","72,69","99,05","108,05","124,08","130,93","137,76","202,63","183,30","118,13","76,93","74,33","61,20","51,20","40,07","59,30","145,27","127,87","153,90",-23.07992548596784,-50.91941337490058
PR,4121356,Rancho Alegre D'Oeste,"131,50","117,48","114,46","90,85","66,80","54,63","63,02","87,52","99,33","118,78","131,43","142,18","211,07","143,17","98,47","95,40","116,07","134,40","98,67","68,73","123,20","194,77","98,67","166,70",-24.29054156711,-52.960952743613134
PR,4121406,Realeza,"138,04","120,54","112,46","86,59","59,27","49,04","56,80","81,99","92,90","115,01","131,25","146,86","204,83","175,77","146,53","125,83","128,27","155,90","126,20","91,03","150,53","249,40","98,00","207,53",-25.67446474633969,-53.54355498307302
PR,4121505,Rebouças,"114,49","95,50","94,53","70,96","52,70","41,39","46,73","67,93","79,30","95,34","112,22","122,95","174,73","181,17","137,90","112,63","90,00","124,67","83,30","85,50","130,77","188,50","121,30","149,47",-25.65850654730536,-50.620920875456754
