IBGE-Code,Município,UF,CAD ou AWC (m³/m³),DTA (mm/m)
2930758,Sítio do Mato,BA,"0,097","97,1"
2930766,Sítio do Quinto,BA,"0,123","123,0"
2930774,Sobradinho,BA,"0,089","89,3"
2930808,Souto Soares,BA,"0,129","128,6"
2930907,Tabocas do Brejo Velho,BA,"0,089","88,9"
2931004,Tanhaçu,BA,"0,111","110,6"
2931053,Tanque Novo,BA,"0,124","124,3"
2931103,Tanquinho,BA,"0,090","89,7"
2931202,Taperoá,BA,"0,115","115,4"
2931301,Tapiramutá,BA,"0,109","109,4"
2931350,Teixeira de Freitas,BA,"0,094","93,9"
2931400,Teodoro Sampaio,BA,"0,079","78,7"
2931509,Teofilândia,BA,"0,087","87,3"
2931608,Teolândia,BA,"0,114","114,4"
2931707,Terra Nova,BA,"0,097","96,5"
2931806,Tremedal,BA,"0,097","97,1"
2931905,Tucano,BA,"0,092","91,7"
2932002,Uauá,BA,"0,098","98,1"
2932101,Ubaíra,BA,"0,107","107,3"
2932200,Ubaitaba,BA,"0,112","112,1"
2932309,Ubatã,BA,"0,112","111,9"
2932408,Uibaí,BA,"0,105","105,0"
2932457,Umburanas,BA,"0,084","83,9"
2932507,Una,BA,"0,106","105,6"
2932606,Urandi,BA,"0,139","138,8"
2932705,Uruçuca,BA,"0,113","112,8"
2932804,Utinga,BA,"0,132","131,6"
2932903,Valença,BA,"0,103","102,8"
2933000,Valente,BA,"0,077","77,1"
2933059,Várzea da Roça,BA,"0,073","72,8"
2933109,Várzea do Poço,BA,"0,064","64,0"
2933158,Várzea Nova,BA,"0,120","119,6"
2933174,Varzedo,BA,"0,115","115,4"
2933208,Vera Cruz,BA,"0,047","47,3"
2933257,Vereda,BA,"0,114","114,1"
2933307,Vitória da Conquista,BA,"0,106","105,8"
2933406,Wagner,BA,"0,128","127,6"
2933455,Wanderley,BA,"0,068","68,1"
2933505,Wenceslau Guimarães,BA,"0,111","111,0"
2933604,Xique-Xique,BA,"0,097","97,2"
3100104,Abadia dos Dourados,MG,"0,123","122,9"
3100203,Abaeté,MG,"0,117","116,8"
3100302,Abre Campo,MG,"0,114","113,8"
3100401,Acaiaca,MG,"0,129","128,6"
3100500,Açucena,MG,"0,111","110,8"
3100609,Água Boa,MG,"0,110","110,2"
3100708,Água Comprida,MG,"0,098","97,8"
3100807,Aguanil,MG,"0,145","144,7"
3100906,Águas Formosas,MG,"0,111","111,2"
3101003,Águas Vermelhas,MG,"0,156","155,6"
3101102,Aimorés,MG,"0,117","117,4"
3101201,Aiuruoca,MG,"0,116","115,7"
3101300,Alagoa,MG,"0,116","115,6"
3101409,Albertina,MG,"0,122","122,2"
3101508,Além Paraíba,MG,"0,115","115,3"
3101607,Alfenas,MG,"0,117","116,6"
3101631,Alfredo Vasconcelos,MG,"0,116","115,7"
3101706,Almenara,MG,"0,095","95,1"
3101805,Alpercata,MG,"0,096","95,5"
3101904,Alpinópolis,MG,"0,096","95,6"
3102001,Alterosa,MG,"0,116","115,6"
3102050,Alto Caparaó,MG,"0,117","116,6"
3102100,Alto Rio Doce,MG,"0,115","115,1"
3102209,Alvarenga,MG,"0,107","107,1"
3102308,Alvinópolis,MG,"0,127","127,1"
3102407,Alvorada de Minas,MG,"0,101","101,2"
3102506,Amparo do Serra,MG,"0,116","116,1"
